country_name,country_code,year,cost_healthy_diet_ppp,affordability_ratio,pct_cannot_afford_healthy_diet,veg_cost_share,population,gdp_per_capita,poverty_headcount_pct,food_insecurity_pct
Peru,PER,2017,3.25,,36.0,,31324637.0,12591.8562879234,7.3,35.0
Thailand,THA,2017,,,,,71160187.0,17573.339815536,0.1,
United States,USA,2017,2.17,,5.8,,332204660.0,60047.7190728307,1.3,8.9
Albania,ALB,2018,3.13,,20.9,,2894231.0,15055.3473824585,1.0,37.1
Australia,AUS,2018,2.36,,3.8,,25119706.0,50371.233830782,0.6,13.3
Azerbaijan,AZE,2018,2.95,,1.3,,10039784.0,15282.9995232298,,9.6
Barbados,BRB,2018,,,,,280711.0,19774.263591082,,
Benin,BEN,2018,2.87,,71.3,,12383347.0,2965.30628143664,37.2,65.8
Bhutan,BTN,2018,4.32,,14.5,,759759.0,11969.5615003305,,
Bulgaria,BGR,2018,3.47,,43.4,,7024745.0,23997.7941525242,1.5,12.5
Cayman Islands,CYM,2018,3.64,,,,65941.0,71811.8917405219,,
Chile,CHL,2018,3.52,,47.9,,18893191.0,25305.0903462611,,15.3
Cyprus,CYP,2018,2.93,,3.3,,1270737.0,40262.48828125,0.1,
Denmark,DNK,2018,2.26,,1.2,,5793824.0,57233.6231685618,0.2,5.2
Dominica,DMA,2018,4.43,,,,68174.0,15069.8972415303,,
El Salvador,SLV,2018,,,,,6219807.0,9203.76216310773,4.1,42.2
Ireland,IRL,2018,2.27,,2.9,,4872556.0,86368.9782047908,0.1,7.2
Kenya,KEN,2018,2.62,,69.8,,50207107.0,4411.56104120886,,64.4
Lebanon,LBN,2018,1.86,,0.1,,5984119.0,21985.4884702241,,14.7
Mauritius,MUS,2018,3.41,,16.9,,1288833.0,23415.5237589118,,20.7
Sint Maarten,SXM,2018,4.58,,,,39712.0,41653.2008964784,,
"Somalia, Fed. Rep.",SOM,2018,,,,,15452487.0,1551.52773977473,,
Sri Lanka,LKA,2018,3.81,,29.3,,22253118.0,14178.0225361835,,7.6
Togo,TGO,2018,2.6,,56.7,,7458206.0,2288.9476039266,35.3,59.6
Trinidad and Tobago,TTO,2018,3.87,,28.5,,1470518.0,28673.2413951653,,
Angola,AGO,2019,3.43,,66.8,,32375632.0,8621.65930812477,,73.5
Brunei Darussalam,BRN,2019,4.36,,,,442680.0,69353.6799514849,,
Burkina Faso,BFA,2019,2.72,,62.6,,20961952.0,2232.16282016585,,39.5
Cabo Verde,CPV,2019,2.86,,52.3,,514104.0,8645.75646859343,,35.1
Canada,CAN,2019,3.19,,3.0,,37782935.0,50499.0822425462,0.4,5.8
Chad,TCD,2019,2.8,,59.6,,16685223.0,2351.65339767739,,75.9
Costa Rica,CRI,2019,3.67,,54.7,,4999553.0,23461.2875330597,1.7,15.3
Estonia,EST,2019,3.35,,10.1,,1326822.0,40586.3784378888,0.7,7.9
Eswatini,SWZ,2019,3.35,,67.1,,1179874.0,9248.32206714455,,
Finland,FIN,2019,2.72,,1.0,,5521759.0,52276.1115723992,0.0,8.0
France,FRA,2019,2.83,,3.8,,65729459.0,51130.4723140578,0.1,5.8
"Gambia, The",GMB,2019,2.98,,42.1,,2456844.0,2421.72318070615,,56.0
Grenada,GRD,2019,4.44,,22.2,,115981.0,16446.1138871871,,23.6
Guyana,GUY,2019,5.06,,76.9,,807665.0,13240.9713761155,,
India,IND,2019,3.01,,52.9,,1389030312.0,6945.40309824538,,
Iraq,IRQ,2019,3.5,,21.0,,41192171.0,12248.5917385963,,
Israel,ISR,2019,2.6,,22.0,,8657474.0,41176.910821106,0.9,12.2
Italy,ITA,2019,3.01,,9.2,,60130136.0,46661.9105159611,1.0,
Latvia,LVA,2019,3.19,,22.0,,1914263.0,32199.0960377091,0.3,10.2
Lithuania,LTU,2019,3.05,,15.0,,2795058.0,40563.8304884555,0.6,11.3
Malaysia,MYS,2019,3.3,,3.0,,33440596.0,28933.928297233,,14.9
Panama,PAN,2019,3.78,,49.1,,4234700.0,33239.7332311641,2.9,
