Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202830,10246996
Azerbaijan,AZE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,8.5,9.6,8.9,9.5,10.1,12.2,14,..,..
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,34282.1710357791,35227.7619063243,36116.0002025353,27204.625909518,31064.6822166194,36785.5703317271,39122.340470849,41257.7650774105,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,390485,392717,394675,395863,396373,397538,399440,401283,403033
"Bahamas, The",BHS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,17.2,17.2,17.2,..,..,..
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,50184.5005767301,51993.1307818652,56599.5214364411,53436.0316999712,54954.6757895532,61667.8791526737,64223.977053306,67230.1000247874,70996.7821254802
Bahrain,BHR,"Population, total",SP.POP.TOTL,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670,1600366
Bahrain,BHR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4882.60692615639,5490.15881865179,6047.12401504125,6640.58437331062,7441.06913961254,8449.20977931373,9155.31731992295,9660.77962818873,10153.7083791829
Bangladesh,BGD,"Population, total",SP.POP.TOTL,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364,175686899
Bangladesh,BGD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,5.9,..,..,..
Bangladesh,BGD,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18969.5916506588,19774.263591082,19986.8728665755,16543.717996277,17686.7469386289,21952.2087434223,23176.0027148492,24539.6254147583,25893.8676913012
Barbados,BRB,"Population, total",SP.POP.TOTL,280171,280711,281207,281698,282147,282318,282336,282467,282623
Barbados,BRB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
