Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet in PPP dollars [CoHD_PPP],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop]
Food Prices for Nutrition 5.0,FPN 5.0,Austria,AUT,2022,YR2022,2.82,..,2.4,9064677,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Austria,AUT,2023,YR2023,3.12,..,2.8,9130429,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Austria,AUT,2024,YR2024,3.19,..,2.9,9120813,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Austria,AUT,2025,YR2025,3.28,..,2.9,9113574,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Azerbaijan,AZE,2017,YR2017,2.9,..,1.5,9968510,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Azerbaijan,AZE,2018,YR2018,2.95,..,1.3,10039784,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Azerbaijan,AZE,2019,YR2019,3.1,..,1.1,10110475,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Azerbaijan,AZE,2020,YR2020,3.28,..,1.9,10181730,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Azerbaijan,AZE,2021,YR2021,3.45,0.1,1.4,10234371,..,0.13
Food Prices for Nutrition 5.0,FPN 5.0,Azerbaijan,AZE,2022,YR2022,3.92,..,1.2,10295304,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Azerbaijan,AZE,2023,YR2023,4.13,..,1.1,10318207,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Azerbaijan,AZE,2024,YR2024,4.2,..,0.7,10336577,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Azerbaijan,AZE,2025,YR2025,4.37,..,0.7,10397713,..,..
Food Prices for Nutrition 5.0,FPN 5.0,"Bahamas, The",BHS,2017,YR2017,4.2,..,..,390485,..,..
Food Prices for Nutrition 5.0,FPN 5.0,"Bahamas, The",BHS,2018,YR2018,4.24,..,..,392717,..,..
Food Prices for Nutrition 5.0,FPN 5.0,"Bahamas, The",BHS,2019,YR2019,4.12,..,..,394675,..,..
Food Prices for Nutrition 5.0,FPN 5.0,"Bahamas, The",BHS,2020,YR2020,4.19,..,..,395863,..,..
Food Prices for Nutrition 5.0,FPN 5.0,"Bahamas, The",BHS,2021,YR2021,4.28,..,..,396373,..,..
Food Prices for Nutrition 5.0,FPN 5.0,"Bahamas, The",BHS,2022,YR2022,4.97,..,..,397538,..,..
Food Prices for Nutrition 5.0,FPN 5.0,"Bahamas, The",BHS,2023,YR2023,5.26,..,..,399440,..,..
Food Prices for Nutrition 5.0,FPN 5.0,"Bahamas, The",BHS,2024,YR2024,5.55,..,..,401283,..,..
Food Prices for Nutrition 5.0,FPN 5.0,"Bahamas, The",BHS,2025,YR2025,5.63,..,..,403033,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bahrain,BHR,2017,YR2017,3.04,..,..,1481995,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bahrain,BHR,2018,YR2018,3.19,..,..,1497626,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bahrain,BHR,2019,YR2019,3.3,..,..,1485670,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bahrain,BHR,2020,YR2020,3.42,..,..,1483077,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bahrain,BHR,2021,YR2021,3.25,0.13,..,1501764,..,0.23
Food Prices for Nutrition 5.0,FPN 5.0,Bahrain,BHR,2022,YR2022,3.74,..,..,1533459,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bahrain,BHR,2023,YR2023,4.12,..,..,1569666,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bahrain,BHR,2024,YR2024,4.33,..,..,1607049,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bahrain,BHR,2025,YR2025,4.32,..,..,1643332,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bangladesh,BGD,2017,YR2017,3.09,..,62.8,162186147,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bangladesh,BGD,2018,YR2018,3.26,..,58.5,163523103,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bangladesh,BGD,2019,YR2019,3.41,..,55.1,164913055,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bangladesh,BGD,2020,YR2020,3.61,..,51.6,166298024,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bangladesh,BGD,2021,YR2021,3.83,0.12,47.2,167658854,..,0.2
Food Prices for Nutrition 5.0,FPN 5.0,Bangladesh,BGD,2022,YR2022,4.13,..,43.3,169384897,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bangladesh,BGD,2023,YR2023,4.33,..,41.5,171466990,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bangladesh,BGD,2024,YR2024,4.49,..,40.4,173562364,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Bangladesh,BGD,2025,YR2025,4.59,..,38.6,175686899,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Barbados,BRB,2017,YR2017,..,..,..,280171,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Barbados,BRB,2018,YR2018,..,..,..,280711,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Barbados,BRB,2019,YR2019,..,..,..,281207,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Barbados,BRB,2020,YR2020,..,..,..,281698,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Barbados,BRB,2021,YR2021,..,..,..,282147,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Barbados,BRB,2022,YR2022,..,..,..,282318,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Barbados,BRB,2023,YR2023,..,..,..,282336,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Barbados,BRB,2024,YR2024,..,..,..,282467,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Barbados,BRB,2025,YR2025,..,..,..,282623,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belarus,BLR,2017,YR2017,3.13,..,4.7,9495790,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belarus,BLR,2018,YR2018,3.13,..,2.8,9480031,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belarus,BLR,2019,YR2019,3.19,..,3.1,9435419,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belarus,BLR,2020,YR2020,3.22,..,1.9,9350944,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belarus,BLR,2021,YR2021,3.3,0.09,1.5,9251365,..,0.14
Food Prices for Nutrition 5.0,FPN 5.0,Belarus,BLR,2022,YR2022,3.6,..,1.5,9173237,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belarus,BLR,2023,YR2023,3.72,..,1.1,9115680,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belarus,BLR,2024,YR2024,3.83,..,0.7,9056696,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belarus,BLR,2025,YR2025,4.01,..,0.6,8997603,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belgium,BEL,2017,YR2017,2,..,2.6,11376581,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belgium,BEL,2018,YR2018,2.07,..,1.4,11428605,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belgium,BEL,2019,YR2019,2.16,..,1.4,11490618,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belgium,BEL,2020,YR2020,2.28,..,1.1,11540107,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belgium,BEL,2021,YR2021,2.26,0.04,0.9,11570844,..,0.28
Food Prices for Nutrition 5.0,FPN 5.0,Belgium,BEL,2022,YR2022,2.53,..,0.8,11641820,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belgium,BEL,2023,YR2023,2.97,..,1,11712893,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belgium,BEL,2024,YR2024,3.03,..,1,11738763,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belgium,BEL,2025,YR2025,3.12,..,0.9,11758603,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belize,BLZ,2017,YR2017,2.56,..,25.7,373202,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belize,BLZ,2018,YR2018,2.69,..,21.7,380226,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belize,BLZ,2019,YR2019,2.9,..,17.5,385829,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belize,BLZ,2020,YR2020,3.16,..,21.6,390812,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Belize,BLZ,2021,YR2021,3.52,0.25,18.7,395346,..,0.35
Food Prices for Nutrition 5.0,FPN 5.0,Belize,BLZ,2022,YR2022,3.85,..,16.8,402733,..,..
